Country,Gender,Age,Time,Start Time
KEN,M,30,123.53333333333333,0.0
ETH,M,35,123.76666666666667,0.0
ETH,M,35,126.15,0.05
KEN,M,30,126.21666666666667,0.0
KEN,M,30,126.23333333333333,0.0
JPN,M,35,129.05,0.0
JPN,M,35,131.4,0.0
USA,M,30,132.66666666666666,0.0
AUS,M,30,132.86666666666667,0.0
GBR,M,30,132.95,0.0
FRA,M,30,133.16666666666666,0.0
ETH,M,35,133.36666666666667,0.0
JPN,M,35,134.46666666666667,0.0
UKR,M,35,134.75,0.0
ETH,M,35,135.08333333333334,0.0
SUI,M,35,135.2,0.0
JPN,M,35,135.53333333333333,0.0
BEL,M,30,135.81666666666666,0.0
IRL,M,30,135.83333333333334,0.0
GBR,M,35,136.03333333333333,0.0
HUN,M,35,136.05,0.0
NOR,M,35,136.63333333333333,0.0
ITA,M,35,136.88333333333333,0.0
NZL,M,35,137.16666666666666,0.0
USA,M,30,137.28333333333333,0.0
SUI,M,35,137.28333333333333,0.0
AUT,M,30,137.61666666666667,0.0
AUS,M,35,137.95,0.0
ESP,M,35,138.15,0.0
ETH,M,35,138.25,0.0
NED,M,30,138.31666666666666,0.0
AUS,M,30,138.71666666666667,0.0
AUS,M,35,138.86666666666667,0.0
USA,M,35,138.9,0.0
ETH,M,35,138.91666666666666,0.0
GUI,M,35,139.01666666666668,0.06666666666666667
GER,M,35,139.33333333333334,0.0
SUI,M,35,139.36666666666667,0.0
NZL,M,30,139.4,0.0
IRL,M,40,139.41666666666666,0.0
GER,M,35,139.43333333333334,0.0
FIN,M,30,139.46666666666667,0.13333333333333333
GBR,M,30,139.58333333333334,0.0
NZL,M,35,139.65,0.0
GBR,M,35,139.68333333333334,0.0
SUI,M,30,139.85,0.0
BEL,M,35,140.1,0.0
FRA,M,35,140.11666666666667,0.0
SUI,M,35,140.23333333333332,0.0
AUS,M,30,140.25,0.0
GBR,M,35,140.3,0.0
GBR,M,35,140.33333333333334,0.0
NZL,M,35,141.96666666666667,0.0
ITA,M,35,142.0,0.0
GBR,M,35,142.15,0.08333333333333333
BRA,M,35,142.3,0.0
NOR,M,30,142.5,0.11666666666666667
AUS,M,35,142.68333333333334,0.0
ISR,M,35,143.05,0.0
POL,M,35,143.58333333333334,0.0
GER,M,30,143.75,0.0
SUI,M,30,144.18333333333334,0.0
USA,M,30,144.31666666666666,0.0
GER,M,45,144.38333333333333,0.0
GBR,M,30,144.4,0.0
AUS,M,35,144.43333333333334,0.0
GBR,M,35,144.63333333333333,0.0
FRA,M,30,144.85,0.06666666666666667
ERI,M,35,146.06666666666666,0.0
SUI,M,35,146.58333333333334,0.1
GER,M,35,146.73333333333332,0.08333333333333333
GER,M,35,146.73333333333332,0.11666666666666667
GER,M,30,146.93333333333334,0.1
USA,M,35,147.18333333333334,0.23333333333333334
GBR,M,30,147.25,0.08333333333333333
NOR,M,40,147.35,0.11666666666666667
IRL,M,35,147.48333333333332,0.0
GER,M,40,147.53333333333333,0.11666666666666667
FRA,M,40,147.81666666666666,0.0
USA,M,35,147.91666666666666,0.1
GER,M,30,147.91666666666666,0.18333333333333332
GBR,M,30,148.28333333333333,0.11666666666666667
GBR,M,35,148.3,0.08333333333333333
NOR,M,30,148.31666666666666,0.13333333333333333
IRL,M,35,148.35,0.08333333333333333
ESP,M,40,148.36666666666667,0.06666666666666667
AUS,M,35,148.46666666666667,0.06666666666666667
GRE,M,35,148.6,0.06666666666666667
GBR,M,35,148.61666666666667,0.16666666666666666
GER,M,35,148.68333333333334,0.1
FRA,M,35,148.68333333333334,0.1
NED,M,35,148.7,0.08333333333333333
SUI,M,40,148.73333333333332,0.1
SWE,M,30,148.75,0.16666666666666666
AUS,M,35,148.75,0.08333333333333333
FRA,M,35,148.76666666666668,0.1
DEN,M,30,148.76666666666668,0.13333333333333333
IRL,M,35,148.76666666666668,0.11666666666666667
DEN,M,35,148.83333333333334,0.1
GBR,M,35,148.83333333333334,0.23333333333333334
USA,M,30,149.03333333333333,0.21666666666666667
BEL,M,45,149.05,0.1
GER,M,35,149.21666666666667,0.08333333333333333
SUI,M,30,149.35,0.0
FRA,M,35,149.38333333333333,0.0
USA,M,35,149.45,0.11666666666666667
GER,M,35,149.53333333333333,0.05
GER,M,35,149.55,0.05
NOR,M,40,149.55,0.13333333333333333
ITA,M,40,149.7,0.1
GER,M,30,149.71666666666667,0.16666666666666666
SWE,M,30,149.8,0.15
BEL,M,35,149.83333333333334,0.16666666666666666
LUX,M,30,150.0,0.1
MEX,M,30,150.2,0.13333333333333333
GBR,M,40,150.21666666666667,0.16666666666666666
JPN,M,35,150.3,0.08333333333333333
GBR,M,45,150.35,0.16666666666666666
CHN,M,30,150.4,0.08333333333333333
NZL,M,35,150.41666666666666,0.08333333333333333
USA,M,35,150.53333333333333,0.21666666666666667
NED,M,35,150.56666666666666,0.15
ESP,M,35,151.03333333333333,20.183333333333334
GER,M,35,151.26666666666668,0.18333333333333332
GBR,M,40,151.38333333333333,0.0
USA,M,35,151.43333333333334,0.23333333333333334
GBR,M,30,151.51666666666668,0.23333333333333334
GER,M,30,151.56666666666666,0.18333333333333332
ESP,M,35,151.56666666666666,0.13333333333333333
FRA,M,35,151.63333333333333,0.23333333333333334
COL,M,40,151.66666666666666,0.1
SUI,M,35,151.73333333333332,0.08333333333333333
AUT,M,30,151.81666666666666,0.1
CZE,M,30,151.83333333333334,0.13333333333333333
USA,M,30,151.91666666666666,0.05
NOR,M,40,152.15,0.11666666666666667
BEL,M,30,152.25,0.1
POR,M,30,152.35,0.1
USA,M,35,152.41666666666666,0.08333333333333333
GER,M,35,152.48333333333332,0.2
ISR,M,30,152.55,0.15
GER,M,35,152.6,0.25
FRA,M,30,152.65,0.16666666666666666
NED,M,35,152.7,0.36666666666666664
GBR,M,35,152.83333333333334,0.11666666666666667
IRL,M,30,152.96666666666667,0.16666666666666666
NOR,M,30,153.01666666666668,0.2
CZE,M,35,153.03333333333333,0.13333333333333333
USA,M,30,153.03333333333333,0.11666666666666667
SUI,M,30,153.06666666666666,0.5666666666666667
AUS,M,35,153.11666666666667,0.06666666666666667
IRL,M,35,153.16666666666666,0.08333333333333333
